Date,Open,High,Low,Close,Volume,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Mid,BB_Upper,BB_Lower,BB_Width,Daily_Return,Log_Return,Volatility_20d,ATR_14
2018-01-01,301.6090575152612,301.6090575152612,296.9024252192447,298.0550537109375,7739502,,,,298.0550537109375,298.0550537109375,0.0,0.0,0.0,,,,,,,,,
2018-01-02,298.6794327880673,299.3998366015327,295.3655635208041,297.478759765625,7046560,,,,297.9663931039663,298.012365270544,-0.045972166577712414,-0.009194433315542483,-0.03677773326216993,0.0,,,,,-0.0019335150944006507,-0.001935386747679831,,
2018-01-03,300.168203929114,303.8662820641809,300.168203929114,302.5695495605469,8898342,,,,298.6745710203633,298.3499344772109,0.3246365431523941,0.05757176197804484,0.2670647811743493,40.45892987506881,,,,,0.017113120274310445,0.01696834025583117,,
2018-01-04,302.5215066114191,303.1938657385385,299.20763821882855,302.2813720703125,6385367,,,,299.22946348958624,298.64115207669994,0.5883114128862985,0.16371969215969556,0.42459172072660295,39.48504722976777,,,,,-0.0009524338805835253,-0.0009528877339317215,,
2018-01-05,302.0413118258674,302.7136711183749,299.30377152120735,300.5524597167969,6366054,,,,299.43300137069554,298.7827304204108,0.650270950284721,0.2610299437847007,0.38924100650002036,34.17076576482283,,,,,-0.005719546466506964,-0.005735965709411762,,
2018-01-08,301.12873828196376,305.6432797359132,300.2642597285034,301.7530822753906,7329648,,,,299.7899368944948,299.00275648374264,0.7871804107521712,0.3662600371781948,0.4209203735739764,40.190789019584116,,,,,0.003994718791272112,0.003986761087647055,,
2018-01-09,302.3774796575622,303.33801806729184,298.4873108234796,300.2643127441406,9190909,,,,299.8629177944403,299.096205095624,0.7667126988163204,0.44635056950581997,0.32036212931050045,35.81685281568443,,,,,-0.004933734297008052,-0.00494594534466469,,
2018-01-10,300.2162421177416,300.60048089885055,298.2951654654104,299.6879577636719,6736971,,,,299.8360008666298,299.14003862659047,0.6959622400393073,0.49627290361251747,0.19968933642678982,34.26228559981293,,,,,-0.001919492114135668,-0.00192133669994702,,
2018-01-11,300.168205347508,300.168205347508,296.37406750659494,297.2865905761719,8366713,,,,299.443783898867,299.0027461784113,0.44103772045571077,0.48522586698115616,-0.04418814652544539,28.677391604239716,,,,,-0.008012891827284152,-0.008045167575343534,,
2018-01-12,297.3826589303541,306.21959356531465,297.3826589303541,305.16302490234375,11699345,,,,300.32366713017115,299.45906312092484,0.8646040092463068,0.5611014954341863,0.30350251381212046,54.73813560433381,,,,,0.026494415072360056,0.026149516714227643,,
2018-01-15,308.1407210783966,317.6500751236707,307.6124366595734,316.3052978515625,30242005,,,,302.78237954884673,300.70693236023135,2.075447188615385,0.8639706340704261,1.211476554544959,70.92369295447526,,,,,0.03651252622359613,0.035861737937504565,,
2018-01-16,316.73751542434735,327.3034370912702,313.6637810322847,320.9158630371094,26707100,,,,305.5721462393487,302.20389018814825,3.368256051200433,1.3648277174964276,2.0034283337040053,74.92022986587588,,,,,0.014576313507434602,0.014471100231806852,,
2018-01-17,320.8677791247588,330.6172654615784,320.8677791247588,329.7047424316406,43305353,,,,309.28485334585514,304.24099035433284,5.043862991522303,2.1006347723016026,2.9432282192207007,80.43956844175484,,,,,0.027386864928876875,0.027018554200837454,,
2018-01-18,336.1883733799962,339.262107376219,329.4646059123963,332.49029541015625,31504669,,,,312.85492135574765,306.333531469579,6.521389886168663,2.984785795075015,3.536604091093648,81.80619431192291,,,,,0.008448628788204848,0.008413138877950869,,6.675745170560808
2018-01-19,333.7390873732709,340.9911407541277,327.35148339863997,339.6463928222656,18812611,,,,316.9766861967504,308.8011508290373,8.17553536771311,4.022935709602634,4.152599658110476,84.7533048570618,,,,,0.021522725658148056,0.021294382368402233,,7.313818389094466
2018-01-22,338.49369003049827,338.97395917904134,331.19359310998306,337.62921142578125,15269782,,,,320.15399777044746,310.93656272509236,9.217435045355103,5.061835576753128,4.155599468601975,80.78106170558793,,,,,-0.005939063211367501,-0.0059567695882837305,,7.629427434205463
2018-01-23,336.6206656109933,350.0682020766786,336.6206656109933,348.0030212402344,22485663,,,,324.4384629196454,313.6822263188066,10.756236600838804,6.200715781570263,4.555520819268541,84.74168668543938,,,,,0.03072545106700142,0.030262875747885724,,8.133714160428992
2018-01-24,343.6325866569449,345.02537895711623,337.9173718831013,338.82989501953125,12815095,,,,326.6525293965509,315.54501659293436,11.107512803616544,7.18207518597952,3.925437617637024,70.8397549636884,,,,,-0.02635932926102591,-0.026712964620326466,,8.56938714881636
2018-01-25,338.5897687532131,350.40437874608864,336.86081144660346,346.5622253417969,30183655,,,,329.71555954197333,317.8425876113686,11.872971930604763,8.12025453490457,3.752717395700193,74.61945021750181,,,,,0.02282068505737933,0.022564188181683077,,9.293220556124762
2018-01-29,345.7938004902097,351.2688807232928,341.5674376802123,343.5365295410156,17855095,317.93578186035154,,,331.8418626187491,319.7458425691202,12.096020049628862,8.915407637849428,3.1806124117794337,70.75470820955952,317.93578186035154,356.6800407329682,279.19152298773486,0.2437238026239809,-0.00873059895029571,-0.008768933917220433,,9.601965058672667
