Date,Open,High,Low,Close,Volume,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Mid,BB_Upper,BB_Lower,BB_Width,Daily_Return,Log_Return,Volatility_20d,ATR_14
2018-01-01,201.3167298045579,201.3863727650468,198.32240127035502,198.94912719726562,6587075,,,,198.94912719726562,198.94912719726562,0.0,0.0,0.0,,,,,,,,,
2018-01-02,199.15800604502184,200.15280129517615,197.46685715563365,199.59571838378906,5361035,,,,199.04860276442307,198.9970228407118,0.05157992371127307,0.010315984742254614,0.041263938969018456,,,,,,0.003250032787941448,0.0032447628466143593,,
2018-01-03,199.4763710717497,200.33189569381844,198.58104613458605,198.97897338867188,4420105,,,,199.03789055276903,198.99568584426441,0.04220470850461311,0.016693729494726313,0.025510979009886796,93.1643141990279,,,,,-0.003089971068073183,-0.0030947548857878887,,
2018-01-04,199.15805163021597,199.53607876919975,198.18315631214523,199.03868103027344,3919750,,,,199.0380121646928,198.99887067285766,0.0391414918351245,0.02118328196280595,0.017958209872318547,93.21268563982348,,,,,0.00030007010582444593,0.0003000250937945258,,
2018-01-05,199.45645936005883,200.29208377617394,198.2826081820931,199.56588745117188,10737010,,,,199.11922374722803,199.04087191569576,0.07835183153227376,0.032616991876699516,0.04573483965557425,93.64060154144688,,,,,0.0026487636381504753,0.002645261845995248,,
2018-01-08,200.71986999229435,201.56543696575673,199.69523195544562,200.1727294921875,8902060,,,,199.28130155414487,199.1247132176581,0.15658833648677728,0.05741126079871507,0.09917707568806221,94.10157525078195,,,,,0.0030408104750072606,0.0030361965618255137,,
2018-01-09,200.94865332400957,203.06757219913203,198.16322341037665,200.89891052246094,6210530,,,,199.53016447234734,199.2561352402361,0.2740292321112463,0.10073485506122132,0.17329437705002498,94.605499524239,,,,,0.0036277720352599907,0.0036212075418235175,,
2018-01-10,200.4711766634297,200.83924611028232,198.9789835380833,199.40673828125,3384405,,,,199.51117582756314,199.26729102105193,0.24388480651120403,0.12936484535121787,0.11451996115998617,79.5636082361265,,,,,-0.0074274780153380515,-0.0074551990805397355,,
2018-01-11,199.69523068484193,203.13721421020824,199.1679903461045,202.470703125,10388690,,,,199.9664877194765,199.50458080652956,0.46190691294694375,0.19587325887036305,0.2660336540765807,84.87973175408415,,,,,0.01536540274495879,0.015248550412718118,,
2018-01-12,203.43565345408751,204.1121070205499,202.1623165930279,203.60476684570312,11603980,,,,200.52622296966524,199.80829829091277,0.7179246787524676,0.300283542846784,0.4176411359056836,86.30023527713226,,,,,0.005601125018087183,0.005585497046344802,,
2018-01-15,203.9330552310564,207.19598290040344,203.0079028031804,206.5891571044922,17556860,,,,201.4589820673309,200.31058412895567,1.1483979383752398,0.4699064219524752,0.6784915164227647,89.18081660648421,,,,,0.014657762217574755,0.014551375554558656,,
2018-01-16,207.62375416083626,207.71328210359175,204.43045425486528,205.574462890625,5790935,,,,202.09213296322233,200.7005010742645,1.3916318889578179,0.6542515153535438,0.7373803736042741,82.80565384547201,,,,,-0.004911652809319267,-0.004923754618832002,,
2018-01-17,204.53987414240132,205.75352569337375,203.29637994504208,204.35086059570312,8017325,,,,202.43962952206553,200.97089807585255,1.4687314462129848,0.8171475015254319,0.6515839446875529,75.77144610033474,,,,,-0.005952112328139192,-0.005969896753770176,,
2018-01-18,205.52471852231534,209.06618742141845,205.2063767348413,208.21066284179688,18241070,,,,203.32748080202418,201.507176947404,1.8203038546201924,1.017778772144384,0.8025250824758083,81.19746265661446,,,,,0.018888113486980496,0.018711947904909716,,2.8749559531387257
2018-01-19,209.44419134765647,211.67253823704033,207.52424374541377,211.0060272216797,21521570,,,,204.50879563581734,202.21079548623922,2.2980001495781153,1.2738230476311303,1.024177101946985,83.99330866246228,,,,,0.013425654295173173,0.013336328812443675,,2.9524075957769247
2018-01-22,211.09557586474827,214.51767438872662,207.71327765628007,213.7019500732422,15949650,,,,205.92312708772886,203.0619921223135,2.8611349654153457,1.5912854311879734,1.2698495342273723,86.13463052205881,,,,,0.012776520590713769,0.012695589467956216,,3.246582780984357
2018-01-23,214.2689769290836,215.6218992570873,212.93595475896356,213.9705352783203,12292315,,,,207.1611898862814,203.8700323560918,3.2911575301895937,1.9312598509882974,1.3598976792012962,86.33082286830637,,,,,0.0012568214982879855,0.001256032359284078,,3.3133752766194533
