Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,432.69,100000.0,0.0,HOLD
2018-01-02,100000.0,0,436.85,100000.0,0.0,HOLD
2018-01-03,100000.0,0,432.26,100000.0,0.0,HOLD
2018-01-04,100000.0,0,433.95,100000.0,0.0,HOLD
2018-01-05,100000.0,0,434.81,100000.0,0.0,HOLD
2018-01-08,100000.0,0,434.11,100000.0,0.0,HOLD
2018-01-09,100000.0,0,434.84,100000.0,0.0,HOLD
2018-01-10,100000.0,0,434.95,100000.0,0.0,HOLD
2018-01-11,100000.0,0,436.9,100000.0,0.0,HOLD
2018-01-12,100000.0,0,435.21,100000.0,0.0,HOLD
2018-01-15,100000.0,0,442.78,100000.0,0.0,HOLD
2018-01-16,100000.0,0,443.34,100000.0,0.0,HOLD
2018-01-17,100000.0,0,441.09,100000.0,0.0,HOLD
2018-01-18,100000.0,0,451.31,100000.0,0.0,HOLD
2018-01-19,100000.0,0,455.48,100000.0,0.0,HOLD
2018-01-22,100000.0,0,458.09,100000.0,0.0,HOLD
2018-01-23,100000.0,0,455.27,100000.0,0.0,HOLD
2018-01-24,100000.0,0,456.76,100000.0,0.0,HOLD
2018-01-25,100000.0,0,460.79,100000.0,0.0,HOLD
2018-01-29,100000.0,0,466.56,100000.0,0.0,HOLD
2018-01-30,100000.0,0,465.59,100000.0,0.0,HOLD
2018-01-31,100000.0,0,467.97,100000.0,0.0,HOLD
2018-02-01,100000.0,0,464.57,100000.0,0.0,HOLD
2018-02-02,100000.0,0,454.5,100000.0,0.0,HOLD
2018-02-05,100000.0,0,446.54,100000.0,0.0,HOLD
2018-02-06,100000.0,0,442.56,100000.0,0.0,HOLD
2018-02-07,100000.0,0,436.96,100000.0,0.0,HOLD
2018-02-08,100000.0,0,438.86,100000.0,0.0,HOLD
2018-02-09,100000.0,0,431.52,100000.0,0.0,HOLD
2018-02-12,100000.0,0,437.86,100000.0,0.0,HOLD
2018-02-14,100000.0,0,439.37,100000.0,0.0,HOLD
2018-02-15,100000.0,0,439.08,100000.0,0.0,HOLD
2018-02-16,100000.0,0,438.31,100000.0,0.0,HOLD
2018-02-19,100000.0,0,438.22,100000.0,0.0,HOLD
2018-02-20,100000.0,0,434.72,100000.0,0.0,HOLD
2018-02-21,100000.0,0,433.37,100000.0,0.0,HOLD
2018-02-22,100000.0,0,432.39,100000.0,0.0,HOLD
2018-02-23,100000.0,0,438.77,100000.0,0.0,HOLD
2018-02-26,100000.0,0,446.0,100000.0,0.0,HOLD
2018-02-27,100000.0,0,443.9,100000.0,0.0,HOLD
2018-02-28,100000.0,0,439.62,100000.0,0.0,HOLD
2018-03-01,100000.0,0,437.32,100000.0,0.0,HOLD
2018-03-05,100000.0,0,436.29,100000.0,0.0,HOLD
2018-03-06,100000.0,0,430.76,100000.0,0.0,HOLD
2018-03-07,100000.0,0,427.58,100000.0,0.0,HOLD
2018-03-08,100000.0,0,432.3,100000.0,0.0,HOLD
2018-03-09,100000.0,0,431.88,100000.0,0.0,HOLD
2018-03-12,100000.0,0,435.66,100000.0,0.0,HOLD
2018-03-13,100000.0,0,434.03,100000.0,0.0,HOLD
2018-03-14,100000.0,0,435.02,100000.0,0.0,HOLD
2018-03-15,100000.0,0,438.83,100000.0,0.0,HOLD
2018-03-16,100000.0,0,432.34,100000.0,0.0,HOLD
2018-03-19,100000.0,0,431.0,100000.0,0.0,HOLD
2018-03-20,100000.0,0,429.19,100000.0,0.0,HOLD
2018-03-21,100000.0,0,433.72,100000.0,0.0,HOLD
2018-03-22,100000.0,0,435.78,100000.0,0.0,HOLD
2018-03-23,100000.0,0,429.67,100000.0,0.0,HOLD
2018-03-26,100000.0,0,441.78,100000.0,0.0,HOLD
2018-03-27,100000.0,0,441.58,100000.0,0.0,HOLD
2018-03-28,100000.0,0,440.06,100000.0,0.0,HOLD
2018-04-02,100000.0,0,450.58,100000.0,0.0,HOLD
2018-04-03,100000.0,0,447.01,100000.0,0.0,HOLD
2018-04-04,100000.0,0,439.4,100000.0,0.0,HOLD
2018-04-05,100000.0,0,445.38,100000.0,0.0,HOLD
2018-04-06,100000.0,0,448.76,100000.0,0.0,HOLD
2018-04-09,100000.0,0,452.42,100000.0,0.0,HOLD
2018-04-10,100000.0,0,448.17,100000.0,0.0,HOLD
2018-04-11,100000.0,0,447.7,100000.0,0.0,HOLD
2018-04-12,100000.0,0,450.02,100000.0,0.0,HOLD
2018-04-13,100000.0,0,449.14,100000.0,0.0,HOLD
2018-04-16,100000.0,0,453.13,100000.0,0.0,HOLD
2018-04-17,100000.0,0,454.62,100000.0,0.0,HOLD
2018-04-18,100000.0,0,450.91,100000.0,0.0,HOLD
2018-04-19,100000.0,0,452.4,100000.0,0.0,HOLD
2018-04-20,100000.0,0,456.35,100000.0,0.0,HOLD
2018-04-23,100000.0,0,451.65,100000.0,0.0,HOLD
2018-04-24,100000.0,0,451.47,100000.0,0.0,HOLD
2018-04-25,100000.0,0,448.15,100000.0,0.0,HOLD
2018-04-26,100000.0,0,450.36,100000.0,0.0,HOLD
2018-04-27,100000.0,0,448.76,100000.0,0.0,HOLD
2018-04-30,100000.0,0,453.64,100000.0,0.0,HOLD
2018-05-02,100000.0,0,459.52,100000.0,0.0,HOLD
2018-05-03,100000.0,0,459.15,100000.0,0.0,HOLD
2018-05-04,100000.0,0,463.95,100000.0,0.0,HOLD
2018-05-07,100000.0,0,461.36,100000.0,0.0,HOLD
2018-05-08,100000.0,0,458.95,100000.0,0.0,HOLD
2018-05-09,100000.0,0,461.6,100000.0,0.0,HOLD
2018-05-10,100000.0,0,464.93,100000.0,0.0,HOLD
2018-05-11,100000.0,0,469.38,100000.0,0.0,HOLD
2018-05-14,100000.0,0,471.71,100000.0,0.0,HOLD
2018-05-15,100000.0,0,475.46,100000.0,0.0,HOLD
2018-05-16,100000.0,0,472.08,100000.0,0.0,HOLD
2018-05-17,100000.0,0,473.11,100000.0,0.0,HOLD
2018-05-18,100000.0,0,469.47,100000.0,0.0,HOLD
2018-05-21,100000.0,0,465.02,100000.0,0.0,HOLD
2018-05-22,100000.0,0,464.28,100000.0,0.0,HOLD
2018-05-23,100000.0,0,459.05,100000.0,0.0,HOLD
2018-05-24,100000.0,0,463.37,100000.0,0.0,HOLD
2018-05-25,100000.0,0,468.67,100000.0,0.0,HOLD
2018-05-28,100000.0,0,476.48,100000.0,0.0,HOLD
2018-05-29,100000.0,0,474.24,100000.0,0.0,HOLD
2018-05-30,100000.0,0,477.92,100000.0,0.0,HOLD
2018-05-31,100000.0,0,502.36,100000.0,0.0,HOLD
2018-06-01,100000.0,0,495.59,100000.0,0.0,HOLD
2018-06-04,100000.0,0,480.47,100000.0,0.0,HOLD
2018-06-05,100000.0,0,484.55,100000.0,0.0,HOLD
2018-06-06,100000.0,0,483.08,100000.0,0.0,HOLD
2018-06-07,100000.0,0,484.22,100000.0,0.0,HOLD
2018-06-08,100000.0,0,481.21,100000.0,0.0,HOLD
2018-06-11,100000.0,0,479.55,100000.0,0.0,HOLD
2018-06-12,100000.0,0,479.91,100000.0,0.0,HOLD
2018-06-13,100000.0,0,477.0,100000.0,0.0,HOLD
2018-06-14,100000.0,0,478.4,100000.0,0.0,HOLD
2018-06-15,100000.0,0,476.57,100000.0,0.0,HOLD
2018-06-18,100000.0,0,474.11,100000.0,0.0,HOLD
2018-06-19,100000.0,0,475.14,100000.0,0.0,HOLD
2018-06-20,100000.0,0,482.8,100000.0,0.0,HOLD
2018-06-21,100000.0,0,483.14,100000.0,0.0,HOLD
2018-06-22,100000.0,0,489.19,100000.0,0.0,HOLD
2018-06-25,100000.0,0,491.91,100000.0,0.0,HOLD
2018-06-26,100000.0,0,491.62,100000.0,0.0,HOLD
2018-06-27,100000.0,0,496.06,100000.0,0.0,HOLD
2018-06-28,100000.0,0,500.34,100000.0,0.0,HOLD
2018-06-29,100000.0,0,495.08,100000.0,0.0,HOLD
2018-07-02,100000.0,0,486.82,100000.0,0.0,HOLD
2018-07-03,100000.0,0,486.1,100000.0,0.0,HOLD
2018-07-04,100000.0,0,493.93,100000.0,0.0,HOLD
2018-07-05,100000.0,0,498.67,100000.0,0.0,HOLD
2018-07-06,100000.0,0,496.66,100000.0,0.0,HOLD
2018-07-09,100000.0,0,499.12,100000.0,0.0,HOLD
2018-07-10,100000.0,0,503.99,100000.0,0.0,HOLD
2018-07-11,100000.0,0,504.43,100000.0,0.0,HOLD
2018-07-12,100000.0,0,508.58,100000.0,0.0,HOLD
2018-07-13,100000.0,0,512.09,100000.0,0.0,HOLD
2018-07-16,100000.0,0,509.26,100000.0,0.0,HOLD
