Date,Open,High,Low,Close,Volume,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Mid,BB_Upper,BB_Lower,BB_Width,Daily_Return,Log_Return,Volatility_20d,ATR_14,Signal_MA,Signal_RSI,Signal_BB
2018-01-01,171.36353074629776,171.41223037486228,167.55544865257022,168.0667724609375,5353190,,,,168.0667724609375,168.0667724609375,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2018-01-02,169.43514974321548,169.43514974321548,166.54256712531364,167.96937561035156,5762080,,,,168.05178833007812,168.0595578794126,-0.0077695493344833,-0.0015539098668966,-0.0062156394675866,0.0,,,,,-0.0005795128279063,-0.000579680810367,,,0.0,0.0,0.0
2018-01-03,168.19823093836737,169.30365443604765,166.63994701042242,167.05873107910156,4161360,,,,167.89901029146634,167.98542256087106,-0.0864122694047182,-0.0185255817744609,-0.0678866876302572,0.0,,,,,-0.0054214914352154,-0.0054362410540159,,,0.0,1.0,0.0
2018-01-04,168.00346545902423,171.2417901543597,166.93213306820277,170.82786560058594,7301470,,,,168.34960341594626,168.19597389714625,0.1536295188000167,0.0159054383404345,0.1377240804595821,65.09223166928393,,,,,0.0225617332128524,0.0223109818926318,,,0.0,1.0,0.0
2018-01-05,171.9965724519235,177.35320391167036,171.32455630920734,176.7201385498047,9843270,,,,169.6373780519245,168.82739350104686,0.8099845508776298,0.1747212608478736,0.6352632900297561,83.34441765580621,,,,,0.034492457822985,0.0339109275272801,,,0.0,0.0,0.0
2018-01-08,177.25583661046122,179.4958858695049,177.25583661046122,178.89691162109375,8250220,,,,171.06192167795052,169.57328373216143,1.488637945789094,0.4375045978361176,1.0511333479529763,86.21250925459918,,,,,0.0123176288178135,0.0122423840889482,,,0.0,-1.0,0.0
2018-01-09,179.49587150928878,179.49587150928878,176.28188933918415,177.20712280273438,5127210,,,,172.00733723560958,170.1387532929446,1.8685839426649693,0.7237204668018881,1.1448634758630811,75.3633223637715,,,,,-0.0094456008381987,-0.0094904934411789,,,0.0,-1.0,0.0
2018-01-10,177.25583185969433,177.34835669707576,174.723599745854,175.52223205566406,4067910,,,,172.54809028484874,170.5375294975905,2.0105607872582425,0.981088530893159,1.0294722563650835,66.391814543743,,,,,-0.0095080306052139,-0.0095535205040753,,,0.0,-1.0,0.0
2018-01-11,175.11318700793345,175.11318700793345,172.68321364230815,173.39419555664062,8184710,,,,172.6782603266629,170.74913439085347,1.9291259358093955,1.1706960118764065,0.758429923932989,57.139803229915,,,,,-0.0121240282447443,-0.0121981237750766,,,0.0,0.0,0.0
2018-01-12,173.65227127863915,174.4216718736129,170.55029679406118,172.39588928222656,6063160,,,,172.63481862751885,170.8711162346589,1.7637023928599262,1.2892972880731104,0.4744051047868158,53.38158097290056,,,,,-0.0057574376766721,-0.0057740756129608,,,0.0,0.0,0.0
2018-01-15,172.48358449757302,174.81128437033658,168.78263517583332,169.28421020507812,8470370,,,,172.11934040868178,170.75356763987514,1.365772768806636,1.3045923842198155,0.0611803845868204,43.72744330673249,,,,,-0.0180496129583134,-0.0182144942647765,,,0.0,0.0,0.0
2018-01-16,170.0292177012252,170.0292177012252,164.06875274993195,164.33657836914062,10765810,,,,170.9219924025985,170.27823510130222,0.64375730129629,1.1724253676351106,-0.5286680663388206,33.387953405359255,,,,,-0.0292267768502669,-0.0296623877621141,,,0.0,0.0,0.0
