Date,Open,High,Low,Close,Volume,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Mid,BB_Upper,BB_Lower,BB_Width,Daily_Return,Log_Return,Volatility_20d,ATR_14,Signal_MA,Signal_RSI,Signal_BB
2018-01-01,106.59793227694544,109.50670334480304,105.8964023521516,108.32608032226562,8934389,,,,108.32608032226562,108.32608032226562,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2018-01-02,108.0865513090673,110.87555120570582,107.60745814902698,109.06184387207033,7665379,,,,108.43927471454326,108.38058132595486,0.0586933885883951,0.011738677717679,0.0469547108707161,,,,,,0.0067921182748957,0.006769155757018,,,0.0,0.0,0.0
2018-01-03,109.6435784895769,109.6435784895769,105.65685004113244,106.06749725341795,5860470,,,,108.07438587437014,108.2092417650262,-0.1348558906560697,-0.0175802359570707,-0.117275654698999,76.15828022517736,,,,,-0.0274554923366664,-0.0278394383019875,,,0.0,0.0,0.0
2018-01-04,106.1188433388805,107.11124901691132,105.21198975443428,106.6492691040039,3905556,,,,107.85513714046763,108.09368823458011,-0.2385510941124664,-0.0617744075881498,-0.1767766865243165,77.29112030028104,,,,,0.0054849210705514,0.0054699336691426,,,0.0,-1.0,0.0
2018-01-05,107.1112489839802,107.41923791323951,105.29754181564536,105.93062591552734,4301878,,,,107.55905849047684,107.93346139613176,-0.3744029056549038,-0.1243001072015006,-0.2501027984534032,72.69610003822565,,,,,-0.0067383789360595,-0.0067611843166685,,,0.0,-1.0,0.0
2018-01-08,106.0846236508147,107.07702932657156,105.77663472216642,106.47816467285156,4760660,,,,107.39276713391912,107.82566163885171,-0.4328945049326194,-0.1860189867477244,-0.2468755181848949,73.96604308928082,,,,,0.0051688428402267,0.005155530226241,,,0.0,-1.0,0.0
2018-01-09,106.97438083481433,109.50672458938556,104.85268440812024,108.5485382080078,12201522,,,,107.5705780683943,107.8792080513818,-0.3086299829875116,-0.2105411859956819,-0.0980887969918297,78.11167401182539,,,,,0.0194441136501306,0.0192574921194764,,,0.0,-1.0,0.0
2018-01-10,108.27475747905603,112.19304052955776,107.82988381328204,111.79949951171876,10163032,,,,108.2211813673673,108.16960001140676,0.051581355960522,-0.1581166776044411,0.2096980335649631,82.75527169301522,,,,,0.0299493789357276,0.0295096543694654,,,0.0,-1.0,0.0
2018-01-11,110.72155529741174,111.57707627302231,109.16450433690146,109.88314056396484,5643897,,,,108.47686739761306,108.29652894122589,0.1803384563871759,-0.0904256508061177,0.2707641071932936,72.9329219708573,,,,,-0.0171410333330968,-0.0172896414913869,,,0.0,-1.0,0.0
2018-01-12,109.84890900059584,110.78998196996322,108.5485144762077,109.0960464477539,8433768,,,,108.57212571301936,108.35575246022796,0.216373252791385,-0.0290658700866171,0.2454391228780022,69.29497824055446,,,,,-0.0071630107418777,-0.0071887882735733,,,0.0,-1.0,0.0
2018-01-15,109.11317817338316,110.96110498302244,107.24814512056308,107.7956771850586,3187225,,,,108.45267209333308,108.314265402808,0.1384066905250733,0.0044286420357209,0.1339780484893524,63.64649829230212,,,,,-0.0119194902568541,-0.0119910969599256,,,0.0,0.0,0.0
2018-01-16,108.4458750571464,114.29763751275158,108.13788609374656,113.59610748291016,16443849,,,,109.2439698455757,108.70551296429706,0.5384568812786483,0.1112342898843064,0.4272225913943419,73.87588532301609,,,,,0.0538094889268485,0.0524116832380354,,,0.0,0.0,0.0
2018-01-17,113.9554145235756,114.1265187077717,111.21774757643838,111.45729064941406,8113347,,,,109.58448073847391,108.9093483483798,0.6751323900941202,0.2240139099262691,0.451118480167851,66.45079707545251,,,,,-0.0188282581233504,-0.019007766567502,,,0.0,-1.0,0.0
2018-01-18,111.90217730933034,112.32993781949985,110.24246792232228,111.33753204345705,4722081,,,,109.85418093924056,109.0892138072744,0.7649671319661451,0.3322045543342443,0.4327625776319007,66.05049043938271,,,,,-0.0010744797873629,-0.0010750574546012,,3.235092374787721,0.0,0.0,0.0
2018-01-19,111.9021621168388,112.92878720186496,109.6778077659488,112.56946563720705,4288268,,,,110.27191704662002,109.34701023912126,0.9249068074987576,0.450745004967147,0.4741618025316106,68.17439277840185,,,,,0.0110648545116767,0.0110040868549453,,3.2094265493066305,0.0,0.0,0.0
